lap_id,source_file,track_id,bike_id,lap_index,lap_number,sample_count,max_distance_m,max_lap_time_s,invalid_flag_max,valid_bin_rate,max_throttle,max_front_brake,max_rear_brake,max_rpm,max_rear_slip,mean_rear_slip,max_front_brake_temp,max_rear_brake_temp,max_front_tyre_wear,max_rear_tyre_wear,distance_coverage_pct,is_complete_lap,is_valid_lap,is_usable_lap
CSV_-_LAP_39.40_segment_1,CSV - LAP 39.40.csv,Sachsenring,Kalex_Moto2,1.0,1.0,3668,3666.03,83.361,0.0,1.0,1.0,1.0,0.1,15833.9,0.199837,0.0488468348604143,454.384,21.9989,0.0,0.0,99.9563750978152,True,True,True
CSV_-_LAP_36_segment_0,CSV - LAP 36.csv,Sachsenring,Kalex_Moto2,0.0,0.0,3668,3667.17,83.3964,0.0,1.0,1.0,1.0,0.1,15728.1,0.200511,0.0485190136063249,423.065,21.9979,0.0,0.0,99.98745784062189,True,True,True
CSV_-_LAP_37_38_segment_0,"CSV - LAP 37,38.csv",Sachsenring,Kalex_Moto2,0.0,0.0,3668,3667.17,83.3964,0.0,1.0,1.0,1.0,0.1,15728.1,0.200511,0.0485190136063249,423.065,21.9979,0.0,0.0,99.98745784062189,True,True,True
CSV_-_LAP_37_38_segment_1,"CSV - LAP 37,38.csv",Sachsenring,Kalex_Moto2,1.0,1.0,3668,3667.36,83.4523,0.0,1.0,1.0,1.0,0.1,15832.2,0.231328,0.0480461625310523,430.812,21.9989,0.0,0.0,99.99263829775632,True,True,True
CSV_-_LAP_24_segment_0,CSV - LAP 24.csv,Sachsenring,Kalex_Moto2,0.0,0.0,3668,3666.79,83.6187,0.0,1.0,1.0,1.0,0.1,15780.2,0.202622,0.0505230932551799,391.738,24.9945,0.0,0.0,99.97709692635298,True,True,True
